ipeds_id,institution name,year,HD2019.State abbreviation,institution name,HD2019.City location of institution,HD2019.State abbreviation,HD2019.ZIP code,"DRVIC2019.Tuition and fees, 2018-19","DRVIC2019.Tuition and fees, 2019-20",HD2019.Institution size category,HD2019.State abbreviation,HD2019.Sector of institution,HD2019.Level of institution,HD2019.Control of institution,HD2019.Degree-granting status,HD2019.Historically Black College or University,HD2019.Tribal college,HD2019.Degree of urbanization (Urban-centric locale),DRVEF122019.12-month full-time equivalent enrollment: 2018-19
143853,Midwestern University-Downers Grove,2019,Illinois,Midwestern University-Downers Grove,Downers Grove,Illinois,60515-5514,,,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,3296
143978,The Chicago School of Professional Psychology at Chicago,2019,Illinois,The Chicago School of Professional Psychology at Chicago,Chicago,Illinois,60654,,,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,1161
144005,Chicago State University,2019,Illinois,Chicago State University,Chicago,Illinois,60628-1598,10163,11366,"1,000 - 4,999",Illinois,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,City: Large,2265
144014,Chicago Theological Seminary,2019,Illinois,Chicago Theological Seminary,Chicago,Illinois,60637,,,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,109
144050,University of Chicago,2019,Illinois,University of Chicago,Chicago,Illinois,60637,58230,60552,"10,000 - 19,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,16572
144157,City Colleges of Chicago-Kennedy-King College,2019,Illinois,City Colleges of Chicago-Kennedy-King College,Chicago,Illinois,60621-2709,3504,3504,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Large,2203
144166,City Colleges of Chicago-Malcolm X College,2019,Illinois,City Colleges of Chicago-Malcolm X College,Chicago,Illinois,60612-3197,3504,3504,"5,000 - 9,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Large,5128
144175,City Colleges of Chicago-Olive-Harvey College,2019,Illinois,City Colleges of Chicago-Olive-Harvey College,Chicago,Illinois,60628-1696,3504,3504,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Large,1744
144184,City Colleges of Chicago-Harry S Truman College,2019,Illinois,City Colleges of Chicago-Harry S Truman College,Chicago,Illinois,60640-6063,3504,3504,"5,000 - 9,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Large,5366
144193,City Colleges of Chicago-Richard J Daley College,2019,Illinois,City Colleges of Chicago-Richard J Daley College,Chicago,Illinois,60652-1299,3504,3504,"5,000 - 9,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Large,5166
144209,City Colleges of Chicago-Harold Washington College,2019,Illinois,City Colleges of Chicago-Harold Washington College,Chicago,Illinois,60601-2449,3504,3504,"5,000 - 9,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Large,5946
144218,City Colleges of Chicago-Wilbur Wright College,2019,Illinois,City Colleges of Chicago-Wilbur Wright College,Chicago,Illinois,60634-1500,3504,3504,"5,000 - 9,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Large,6924
144281,Columbia College Chicago,2019,Illinois,Columbia College Chicago,Chicago,Illinois,60605-1996,27176,27756,"5,000 - 9,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,6419
144351,Concordia University-Chicago,2019,Illinois,Concordia University-Chicago,River Forest,Illinois,60305-1499,32078,32880,"5,000 - 9,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,4204
144485,Coyne College,2019,Illinois,Coyne College,Chicago,Illinois,60602-3304,,,"Under 1,000",Illinois,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,Degree-granting,No,No,City: Large,834
144500,City Colleges of Chicago-District Office,2019,Illinois,City Colleges of Chicago-District Office,Chicago,Illinois,60601,,,Not applicable,Illinois,Administrative Unit,At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Large,
144564,Danville Area Community College,2019,Illinois,Danville Area Community College,Danville,Illinois,61832-5118,5025,5025,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Small,1695
144573,Tricoci University of Beauty Culture-Danville,2019,Illinois,Tricoci University of Beauty Culture-Danville,Danville,Illinois,61832,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Small,51
144740,DePaul University,2019,Illinois,DePaul University,Chicago,Illinois,60604,39975,41202,"20,000 and above",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,20073
144777,DeVry University-Administrative Office,2019,Illinois,DeVry University-Administrative Office,Naperville,Illinois,60563,,,Not applicable,Illinois,Administrative Unit,Four or more years,Private for-profit,Degree-granting,No,No,City: Midsize,
144795,Cosmetology & Spa Academy,2019,Illinois,Cosmetology & Spa Academy,Crystal Lake,Illinois,60014,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Large,401
144865,College of DuPage,2019,Illinois,College of DuPage,Glen Ellyn,Illinois,60137-6599,4080,4110,"20,000 and above",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Suburb: Large,16019
144883,East-West University,2019,Illinois,East-West University,Chicago,Illinois,60605,22050,22650,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,351
144892,Eastern Illinois University,2019,Illinois,Eastern Illinois University,Charleston,Illinois,61920,11803,11989,"5,000 - 9,999",Illinois,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Town: Distant,5828
144944,Elgin Community College,2019,Illinois,Elgin Community College,Elgin,Illinois,60123-7193,3179,3180,"5,000 - 9,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Midsize,6470
144962,Elmhurst College,2019,Illinois,Elmhurst College,Elmhurst,Illinois,60126-3296,37055,37754,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,3479
144971,Eureka College,2019,Illinois,Eureka College,Eureka,Illinois,61530,25390,27560,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Town: Fringe,531
145099,"First Institute of Travel, Inc.",2019,Illinois,"First Institute of Travel, Inc.",Crystal Lake,Illinois,60014,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Large,297
145239,Fox College,2019,Illinois,Fox College,Bedford Park,Illinois,60638,15220,15280,"Under 1,000",Illinois,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,Degree-granting,No,No,Suburb: Large,668
145275,Garrett-Evangelical Theological Seminary,2019,Illinois,Garrett-Evangelical Theological Seminary,Evanston,Illinois,60201-3298,,,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Small,219
145309,Gem City College,2019,Illinois,Gem City College,Quincy,Illinois,62301,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Town: Remote,30
145336,Governors State University,2019,Illinois,Governors State University,University Park,Illinois,60484,9772,10070,"1,000 - 4,999",Illinois,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Rural: Fringe,3747
145354,Graham Hospital School of Nursing,2019,Illinois,Graham Hospital School of Nursing,Canton,Illinois,61520-2497,12212,6896,"Under 1,000",Illinois,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,"Nondegree-granting, primarily postsecondary",No,No,Town: Distant,24
145372,Greenville University,2019,Illinois,Greenville University,Greenville,Illinois,62246,27130,27910,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Town: Distant,1087
145406,G Skin & Beauty Institute,2019,Illinois,G Skin & Beauty Institute,Schaumburg,Illinois,60195,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,City: Small,353
145424,Hair Professionals Career College,2019,Illinois,Hair Professionals Career College,Sycamore,Illinois,60178,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Small,30
145433,Hair Professionals School of Cosmetology,2019,Illinois,Hair Professionals School of Cosmetology,Oswego,Illinois,60543,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Large,89
