ipeds_id,institution name,year,HD2019.State abbreviation,institution name,HD2019.City location of institution,HD2019.State abbreviation,HD2019.ZIP code,"DRVIC2019.Tuition and fees, 2018-19","DRVIC2019.Tuition and fees, 2019-20",HD2019.Institution size category,HD2019.State abbreviation,HD2019.Sector of institution,HD2019.Level of institution,HD2019.Control of institution,HD2019.Degree-granting status,HD2019.Historically Black College or University,HD2019.Tribal college,HD2019.Degree of urbanization (Urban-centric locale),DRVEF122019.12-month full-time equivalent enrollment: 2018-19
147369,Moody Bible Institute,2019,Illinois,Moody Bible Institute,Chicago,Illinois,60610-3284,13056,13290,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,2633
147378,Moraine Valley Community College,2019,Illinois,Moraine Valley Community College,Palos Hills,Illinois,60465-0937,4356,4446,"10,000 - 19,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Suburb: Large,9185
147396,Morrison Institute of Technology,2019,Illinois,Morrison Institute of Technology,Morrison,Illinois,61270-2959,16100,17400,"Under 1,000",Illinois,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,Degree-granting,No,No,Town: Distant,125
147411,Morton College,2019,Illinois,Morton College,Cicero,Illinois,60804-4398,4372,4798,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Suburb: Large,2749
147439,Mr John's School of Cosmetology Esthetics & Nails-Decatur,2019,Illinois,Mr John's School of Cosmetology Esthetics & Nails-Decatur,Decatur,Illinois,62521,,,"Under 1,000",Illinois,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,City: Small,51
147536,National Louis University,2019,Illinois,National Louis University,Chicago,Illinois,60603,10710,11010,"5,000 - 9,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,5034
147590,National University of Health Sciences,2019,Illinois,National University of Health Sciences,Lombard,Illinois,60148-4583,,,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,877
147642,Niles School of Cosmetology,2019,Illinois,Niles School of Cosmetology,Niles,Illinois,60714,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Large,49
147660,North Central College,2019,Illinois,North Central College,Naperville,Illinois,60540,38880,40040,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Midsize,2872
147679,North Park University,2019,Illinois,North Park University,Chicago,Illinois,60625-4895,29860,31030,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,2421
147697,Northern Baptist Theological Seminary,2019,Illinois,Northern Baptist Theological Seminary,Lisle,Illinois,60532-1348,,,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,85
147703,Northern Illinois University,2019,Illinois,Northern Illinois University,Dekalb,Illinois,60115-2828,14617,14610,"10,000 - 19,999",Illinois,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Suburb: Small,14722
147767,Northwestern University,2019,Illinois,Northwestern University,Evanston,Illinois,60208,54567,56691,"20,000 and above",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Small,20172
147776,Northeastern Illinois University,2019,Illinois,Northeastern Illinois University,Chicago,Illinois,60625-4699,11218,11462,"5,000 - 9,999",Illinois,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,City: Large,5711
147800,Oakton Community College,2019,Illinois,Oakton Community College,Des Plaines,Illinois,60016-1268,3985,3985,"5,000 - 9,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Small,5870
147819,Oehrlein School of Cosmetology,2019,Illinois,Oehrlein School of Cosmetology,East Peoria,Illinois,61611,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Large,40
147828,Olivet Nazarene University,2019,Illinois,Olivet Nazarene University,Bourbonnais,Illinois,60914-2271,36070,37070,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Small,4364
147916,Parkland College,2019,Illinois,Parkland College,Champaign,Illinois,61821-1899,4920,5130,"5,000 - 9,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Small,4942
148007,Prairie State College,2019,Illinois,Prairie State College,Chicago Heights,Illinois,60411-8226,4176,4176,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Suburb: Large,3026
148016,Principia College,2019,Illinois,Principia College,Elsah,Illinois,62028-9799,29470,30190,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Rural: Fringe,437
148098,Professional's Choice Hair Design Academy,2019,Illinois,Professional's Choice Hair Design Academy,Joliet,Illinois,60435,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Large,33
148131,Quincy University,2019,Illinois,Quincy University,Quincy,Illinois,62301-2699,28562,30450,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Town: Remote,1122
148256,Rend Lake College,2019,Illinois,Rend Lake College,Ina,Illinois,62846,3900,4050,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Rural: Distant,1896
148292,Richland Community College,2019,Illinois,Richland Community College,Decatur,Illinois,62521-8512,4410,4500,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Small,1644
148335,Robert Morris University Illinois,2019,Illinois,Robert Morris University Illinois,Chicago,Illinois,60605,28050,29400,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,2014
148380,Rock Valley College,2019,Illinois,Rock Valley College,Rockford,Illinois,61114-5699,3764,4064,"5,000 - 9,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Midsize,4678
148399,Madison Media Institute-Rockford Career College,2019,Illinois,Madison Media Institute-Rockford Career College,Rockford,Illinois,61108,,,Not reported,Illinois,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,Degree-granting,No,No,City: Midsize,
148405,Rockford University,2019,Illinois,Rockford University,Rockford,Illinois,61108-2311,30930,32100,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Midsize,1120
148487,Roosevelt University,2019,Illinois,Roosevelt University,Chicago,Illinois,60605-1394,29832,30876,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,3621
148496,Dominican University,2019,Illinois,Dominican University,River Forest,Illinois,60305,33584,34420,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,2837
148511,Rush University,2019,Illinois,Rush University,Chicago,Illinois,60612,,,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,2728
148575,Saint Francis Medical Center College of Nursing,2019,Illinois,Saint Francis Medical Center College of Nursing,Peoria,Illinois,61603-3783,,,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Midsize,426
148584,University of St Francis,2019,Illinois,University of St Francis,Joliet,Illinois,60435-6188,32320,34000,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,3075
148593,St. John's College-Department of Nursing,2019,Illinois,St. John's College-Department of Nursing,Springfield,Illinois,62702,,,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Midsize,141
148627,Saint Xavier University,2019,Illinois,Saint Xavier University,Chicago,Illinois,60655,33880,34380,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,3332
148654,University of Illinois at Springfield,2019,Illinois,University of Illinois at Springfield,Springfield,Illinois,62703-5407,11813,11813,"1,000 - 4,999",Illinois,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,City: Midsize,3578
148672,Sauk Valley Community College,2019,Illinois,Sauk Valley Community College,Dixon,Illinois,61021-9112,4470,4680,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Rural: Fringe,1193
148821,Shawnee Community College,2019,Illinois,Shawnee Community College,Ullin,Illinois,62992,4000,3750,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Rural: Remote,1135
148876,Saint Augustine College,2019,Illinois,Saint Augustine College,Chicago,Illinois,60640-3501,11400,11736,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,826
148885,University of Saint Mary of the Lake,2019,Illinois,University of Saint Mary of the Lake,Mundelein,Illinois,60060-1174,,,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,133
148937,Southeastern Illinois College,2019,Illinois,Southeastern Illinois College,Harrisburg,Illinois,62946,3960,4020,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Rural: Distant,984
148955,National Latino Education Institute,2019,Illinois,National Latino Education Institute,Chicago,Illinois,60609-2205,,,"Under 1,000",Illinois,"Private not-for-profit, less-than 2-year",Less than 2 years (below associate),Private not-for-profit,"Nondegree-granting, primarily postsecondary",No,No,City: Large,18
148982,Spertus College,2019,Illinois,Spertus College,Chicago,Illinois,60605,,,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,36
148991,Spoon River College,2019,Illinois,Spoon River College,Canton,Illinois,61520-8622,4950,5100,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Rural: Fringe,891
149028,Saint Anthony College of Nursing,2019,Illinois,Saint Anthony College of Nursing,Rockford,Illinois,61114,25948,26692,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Midsize,242
149204,Educators of Beauty College of Cosmetology-Sterling,2019,Illinois,Educators of Beauty College of Cosmetology-Sterling,Sterling,Illinois,61081-3611,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Town: Distant,41
149222,Southern Illinois University-Carbondale,2019,Illinois,Southern Illinois University-Carbondale,Carbondale,Illinois,62901-4512,14704,14904,"10,000 - 19,999",Illinois,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,City: Small,11440
149231,Southern Illinois University-Edwardsville,2019,Illinois,Southern Illinois University-Edwardsville,Edwardsville,Illinois,62026-1259,12132,12219,"10,000 - 19,999",Illinois,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Suburb: Large,11754
149240,Southern Illinois University-System Office,2019,Illinois,Southern Illinois University-System Office,Carbondale,Illinois,62901-6801,,,Not applicable,Illinois,Administrative Unit,Four or more years,Public,Degree-granting,No,No,Rural: Fringe,
149310,Taylor Business Institute,2019,Illinois,Taylor Business Institute,Chicago,Illinois,60601,14325,14325,"Under 1,000",Illinois,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,Degree-granting,No,No,City: Large,179
149329,Telshe Yeshiva-Chicago,2019,Illinois,Telshe Yeshiva-Chicago,Chicago,Illinois,60625,13500,14500,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,91
149365,South Suburban College,2019,Illinois,South Suburban College,South Holland,Illinois,60473-1200,5093,5093,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Suburb: Large,2678
149499,Tri-County Beauty Academy,2019,Illinois,Tri-County Beauty Academy,LITCHFIELD,Illinois,62056,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Town: Distant,9
149505,Trinity Christian College,2019,Illinois,Trinity Christian College,Palos Heights,Illinois,60463-0929,30175,31175,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,1273
149514,Trinity International University-Illinois,2019,Illinois,Trinity International University-Illinois,Deerfield,Illinois,60015-1283,32390,33028,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,1216
149532,Triton College,2019,Illinois,Triton College,River Grove,Illinois,60171-1995,4170,4320,"5,000 - 9,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Suburb: Large,6695
149550,University of Spa & Cosmetology Arts,2019,Illinois,University of Spa & Cosmetology Arts,Springfield,Illinois,62704,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,City: Midsize,211
149587,University of Illinois University Administration,2019,Illinois,University of Illinois University Administration,Urbana,Illinois,61801,,,Not applicable,Illinois,Administrative Unit,Four or more years,Public,Degree-granting,No,No,City: Small,
149639,VanderCook College of Music,2019,Illinois,VanderCook College of Music,Chicago,Illinois,60616-3731,28434,29070,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,218
149727,Waubonsee Community College,2019,Illinois,Waubonsee Community College,Sugar Grove,Illinois,60554-9454,3264,3312,"5,000 - 9,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Rural: Fringe,5959
149763,Resurrection University,2019,Illinois,Resurrection University,Chicago,Illinois,60622,,,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,1006
149772,Western Illinois University,2019,Illinois,Western Illinois University,Macomb,Illinois,61455,12951,13256,"5,000 - 9,999",Illinois,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Town: Remote,7508
149781,Wheaton College,2019,Illinois,Wheaton College,Wheaton,Illinois,60187-5593,36420,37700,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,2921
149842,William Rainey Harper College,2019,Illinois,William Rainey Harper College,Palatine,Illinois,60067-7398,3684,3774,"10,000 - 19,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Suburb: Large,9161
244561,Cortiva Institute-Chicago,2019,Illinois,Cortiva Institute-Chicago,Chicago,Illinois,60602,,,Not applicable,Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,City: Large,
244613,ETI School of Skilled Trades,2019,Illinois,ETI School of Skilled Trades,Willowbrook,Illinois,60527,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Large,272
260947,Christian Life College,2019,Illinois,Christian Life College,Mount Prospect,Illinois,60056-2522,,,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,
260965,Educators of Beauty College of Cosmetology-Rockford,2019,Illinois,Educators of Beauty College of Cosmetology-Rockford,Rockford,Illinois,61114,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,City: Midsize,89
260992,Northwestern College,2019,Illinois,Northwestern College,Bridgeview,Illinois,60455,18475,18475,"Under 1,000",Illinois,"Private for-profit, 4-year or above",Four or more years,Private for-profit,Degree-granting,No,No,Suburb: Large,695
364122,HSHS St. John's Hospital School of Clinical Laboratory Science,2019,Illinois,HSHS St. John's Hospital School of Clinical Laboratory Science,Springfield,Illinois,62769,,,Not applicable,Illinois,"Private not-for-profit, less-than 2-year",Less than 2 years (below associate),Private not-for-profit,"Nondegree-granting, primarily postsecondary",No,No,City: Midsize,
364760,Bell Mar Beauty College,2019,Illinois,Bell Mar Beauty College,Cicero,Illinois,60804,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Large,77
366191,Universal Technical Institute of Illinois Inc,2019,Illinois,Universal Technical Institute of Illinois Inc,Lisle,Illinois,60532-0000,,,"1,000 - 4,999",Illinois,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Large,1459
367051,Hairmasters Institute of Cosmetology,2019,Illinois,Hairmasters Institute of Cosmetology,Bloomington,Illinois,61701,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,City: Small,110
367972,Capital Area School of Practical Nursing,2019,Illinois,Capital Area School of Practical Nursing,Springfield,Illinois,62712-3803,,,"Under 1,000",Illinois,"Public, less-than 2-year",Less than 2 years (below associate),Public,"Nondegree-granting, primarily postsecondary",No,No,City: Midsize,188
367981,Hair Professionals Career College,2019,Illinois,Hair Professionals Career College,Palos Hills,Illinois,60465,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Large,58
369446,Rosel School of Cosmetology,2019,Illinois,Rosel School of Cosmetology,Niles,Illinois,60714,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Large,46
369455,Worsham College of Mortuary Science,2019,Illinois,Worsham College of Mortuary Science,Wheeling,Illinois,60090-2646,21800,21800,"Under 1,000",Illinois,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,Degree-granting,No,No,Suburb: Large,112
373216,Pivot Point Academy,2019,Illinois,Pivot Point Academy,Bloomingdale,Illinois,60108-0000,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Large,143
384342,Heartland Community College,2019,Illinois,Heartland Community College,Normal,Illinois,61761-9446,4590,4740,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Suburb: Midsize,3428
401481,Cannella School of Hair Design-Blue Island,2019,Illinois,Cannella School of Hair Design-Blue Island,Blue Island,Illinois,60406-2130,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Large,23
401764,John Amico School of Hair Design,2019,Illinois,John Amico School of Hair Design,Oak Forest,Illinois,60452-2501,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Large,244
403469,Frontier Community College,2019,Illinois,Frontier Community College,Fairfield,Illinois,62837,3970,4098,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Town: Remote,754
403478,Lincoln Trail College,2019,Illinois,Lincoln Trail College,Robinson,Illinois,62454,3970,4098,"Under 1,000",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Rural: Fringe,633
403487,Wabash Valley College,2019,Illinois,Wabash Valley College,Mount Carmel,Illinois,62863,3970,4098,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Town: Distant,1624
407090,G Skin & Beauty Institute,2019,Illinois,G Skin & Beauty Institute,Oakbrook,Illinois,60523,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Large,290
409254,Erikson Institute,2019,Illinois,Erikson Institute,Chicago,Illinois,60654-4510,,,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,231
417442,Career Center of Southern Illinois,2019,Illinois,Career Center of Southern Illinois,Red Bud,Illinois,62278,,,"Under 1,000",Illinois,"Public, less-than 2-year",Less than 2 years (below associate),Public,"Nondegree-granting, primarily postsecondary",No,No,Rural: Distant,151
419253,Illinois Media School,2019,Illinois,Illinois Media School,Lombard,Illinois,60148,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Large,141
433165,Blessing Hospital School of Medical Laboratory Technology,2019,Illinois,Blessing Hospital School of Medical Laboratory Technology,Quincy,Illinois,62305-7005,,,"Under 1,000",Illinois,"Private not-for-profit, less-than 2-year",Less than 2 years (below associate),Private not-for-profit,"Nondegree-granting, primarily postsecondary",No,No,Town: Remote,5
437556,Midwest Technical Institute-Springfield,2019,Illinois,Midwest Technical Institute-Springfield,Springfield,Illinois,62707,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,City: Midsize,701
439020,Midwest College of Oriental Medicine-Evanston,2019,Illinois,Midwest College of Oriental Medicine-Evanston,Evanston,Illinois,60201,,,"Under 1,000",Illinois,"Private for-profit, 4-year or above",Four or more years,Private for-profit,Degree-granting,No,No,City: Small,79
442161,University of Phoenix-Illinois,2019,Illinois,University of Phoenix-Illinois,Chicago,Illinois,60601-1210,,,"Under 1,000",Illinois,"Private for-profit, 4-year or above",Four or more years,Private for-profit,Degree-granting,No,No,City: Large,24
442842,Pacific College of Health Science-Chicago,2019,Illinois,Pacific College of Health Science-Chicago,Chicago,Illinois,60601,10210,6880,"Under 1,000",Illinois,"Private for-profit, 4-year or above",Four or more years,Private for-profit,Degree-granting,No,No,City: Large,211
443030,NorthShore University HealthSystem School of Nurse Anesthesia,2019,Illinois,NorthShore University HealthSystem School of Nurse Anesthesia,Evanston,Illinois,60201-1718,,,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,"Nondegree-granting, primarily postsecondary",No,No,City: Small,85
443173,Mr John's School of Cosmetology & Nails-Jacksonville,2019,Illinois,Mr John's School of Cosmetology & Nails-Jacksonville,Jacksonville,Illinois,62650,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Town: Distant,23
443368,Illinois Eastern Community College-System Office,2019,Illinois,Illinois Eastern Community College-System Office,Olney,Illinois,62450,,,Not applicable,Illinois,Administrative Unit,At least 2 but less than 4 years,Public,Degree-granting,No,No,Town: Remote,
443702,"Bexley Hall Seabury Western Theological Seminary Federation, Inc.",2019,Illinois,"Bexley Hall Seabury Western Theological Seminary Federation, Inc.",Chicago,Illinois,60637,,,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,37
445054,Toyota Technological Institute at Chicago,2019,Illinois,Toyota Technological Institute at Chicago,Chicago,Illinois,60637,,,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,26
445957,Soma Institute-The National School of Clinical Massage Therapy,2019,Illinois,Soma Institute-The National School of Clinical Massage Therapy,Chicago,Illinois,60604-4110,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,City: Large,160
446084,CALC Institute of Technology,2019,Illinois,CALC Institute of Technology,Alton,Illinois,62002,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Small,178
446251,Estelle Medical Academy,2019,Illinois,Estelle Medical Academy,Skokie,Illinois,60077,8680,8680,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,City: Small,33
448673,Rasmussen College-Illinois,2019,Illinois,Rasmussen College-Illinois,Rockford,Illinois,61108-2513,10935,10935,"1,000 - 4,999",Illinois,"Private for-profit, 4-year or above",Four or more years,Private for-profit,Degree-granting,No,No,City: Midsize,1655
454218,Chamberlain University-Administrative Office,2019,Illinois,Chamberlain University-Administrative Office,Downers Grove,Illinois,60515-5683,,,Not applicable,Illinois,Administrative Unit,Four or more years,Private for-profit,Degree-granting,No,No,Suburb: Large,
454227,Chamberlain University-Illinois,2019,Illinois,Chamberlain University-Illinois,Addison,Illinois,60101,19375,19900,"20,000 and above",Illinois,"Private for-profit, 4-year or above",Four or more years,Private for-profit,Degree-granting,No,No,Suburb: Large,20580
454953,University of Aesthetics & Cosmetology,2019,Illinois,University of Aesthetics & Cosmetology,Chicago,Illinois,60622-2151,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,City: Large,53
454962,The University of Aesthetics & Cosmetology,2019,Illinois,The University of Aesthetics & Cosmetology,Downers Grove,Illinois,60515,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Large,55
454971,Tricoci University of Beauty Culture-Chicago NW,2019,Illinois,Tricoci University of Beauty Culture-Chicago NW,Chicago,Illinois,60656,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,City: Large,219
454980,Tricoci University of Beauty Culture-Glendale Heights,2019,Illinois,Tricoci University of Beauty Culture-Glendale Heights,Glendale Heights,Illinois,60139,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Large,87
454999,Tricoci University of Beauty Culture-Peoria,2019,Illinois,Tricoci University of Beauty Culture-Peoria,Peoria,Illinois,61614,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,City: Midsize,175
455008,Tricoci University of Beauty Culture-Rockford,2019,Illinois,Tricoci University of Beauty Culture-Rockford,Rockford,Illinois,61108,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,City: Midsize,267
455877,Aveda Institute-Chicago,2019,Illinois,Aveda Institute-Chicago,Chicago,Illinois,60657,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,City: Large,144
